fid,total_score
293382,593
304032,1425
387117,254
286431,2669
262572,193
245743,648
290535,0
459768,9877
499155,3773
304832,1231
16154,676
18850,1958
386509,485
403231,187
458691,741
327374,0
15513,159
467051,72
400074,122
500235,0
346678,586
413808,0
484256,109
234948,155
379695,0
299135,76
321702,504
335459,266
475326,2236
258537,284
426441,597
533260,83
575001,510
18753,680
445796,97
344550,151
252936,0
548213,2598
245492,199
279411,551
247143,77
571464,366
193425,917
567938,863
284877,753
316530,838
461448,880
440917,38
446697,87
281676,76
599449,0
443863,0
339600,1021
235383,481
394895,35
19038,716
499802,0
447998,0
343942,289
255041,158
440473,38
362862,0
21829,873
501210,0
322602,0
411120,0
264615,1202
364229,485
312451,657
304465,78
533278,831
308564,815
575870,44
243464,950
516518,31
274580,187
8425,620
243775,992
547849,203
14958,759
320106,159
348525,340
258848,92
328339,409
404910,147
300392,831
502639,60
636798,0
665596,558
428361,0
217575,1951
516307,0
511519,0
290477,1176
351704,2086
411689,70
405503,324
481404,0
654983,221
2391,1216
484420,97
15825,16963
452605,427
191571,204
433599,0
507612,67
508188,64
316122,529
621320,0
461581,105
371106,218
416604,110
439045,32
255479,144
405697,0
396217,85
265169,633
295123,2583
345672,379
377944,0
2777,953
398211,95
345377,664
379673,81
292732,929
305843,0
438284,44
482887,48
419871,0
337574,156
11244,115
254810,152
520144,485
504309,0
501244,0
540896,11382
498226,88
230238,209
489090,976
453255,761
474644,0
411451,109
315708,960
461955,474
235984,715
315883,151
448613,50
423885,577
333772,589
456735,91
398028,114
236804,144
250661,158
316468,244
390104,0
300589,474
347232,212
597125,0
253439,34896
418549,70
640479,0
554453,0
362216,393
311600,76
4901,570
19299,960
343330,0
407704,149
552205,129
472339,46
480498,0
289289,943
423985,0
500856,139
434016,102
277296,150
494279,14984
452884,917
234943,682
404660,104
260151,758
393855,263
455109,275
528487,34
478734,96
341838,102
455837,538
261145,152
5064,83
572072,36
338710,641
508994,0
511642,115
255977,289
579824,0
416153,66
576420,0
570225,260
323433,750
287136,142
229000,1551
516034,70
506729,0
414579,0
499857,421
558408,577
188261,676
272479,0
414347,175
279008,161
22761,909
378285,0
472406,1121
396484,0
263574,160
372529,5302
255156,961
370281,340
314720,1361
474649,651
972,0
409073,0
14176,162
277988,322
543707,0
250760,483
429137,0
511734,0
391782,165
647700,627
597575,511
534167,83
540346,580
444768,198
614469,53
6791,295
559500,187
364924,1107
330815,621
249202,359
531537,695
504583,378
554100,44
401744,638
473653,133
407112,91
229024,0
403845,497
376900,1032
252219,651
510260,0
546378,632
263895,533
364891,189
264410,553
481228,0
491649,880
239533,711
344891,689
279269,167
593698,537
439530,116
7910,0
439928,0
607900,37
13688,336
254613,1634
528176,533
449421,36
535427,930
11961,873
292545,159
205525,702
9766,651
393348,77
435411,499
471393,587
443305,0
550510,109
291197,482
541774,81
417887,0
454815,500
358786,1574
452432,356
230360,532
333255,1036
600834,77
17931,82
211160,1881
255185,148
436215,123
475475,978
368056,996
217261,325
312736,150
216548,424
307253,883
394954,148
301313,0
4840,808
538306,0
621460,3125
498349,0
236949,1088
549598,199
640033,482
19185,6830
1467,910
522885,524
426970,0
291454,461
560015,0
291686,573
251447,156
13536,344
607454,0
285604,184
18319,2009
539388,0
421924,0
401614,296
254510,157
250425,0
511463,0
267642,151
557806,164
298619,100
395500,55
2112,71
518552,1416
249905,151
291482,1703
528654,1755
394667,0
248451,660
412582,150
442860,1137
300707,0
16884,343
263694,856
406564,125
343819,972
487357,0
587554,58
261578,87
466926,92
425913,954
328632,177
331253,744
397392,106
405733,106
243779,812
664520,612
451150,0
594934,417
436361,0
399370,105
335897,105
424680,731
519206,0
509509,87
444033,101
18096,601
359298,1478
445579,377
632206,0
4632,966
243496,714
530357,283
448698,157
537917,592
577936,0
516089,0
535243,0
442432,634
302556,79
413852,40
350886,1074
492843,51
200695,8565
436646,0
12547,839
393317,72
420326,960
478008,436
427885,84
435941,706
385297,101
541237,7516
515439,81
386264,0
4716,574
216993,615
416658,461
396114,51
292064,151
10095,443
385564,83
338988,485
312316,463
607283,203
294244,1351
380106,137
190446,35998
301657,813
547522,625
206967,223
477688,514
402541,80
315272,128
485447,73
541506,418
445346,1139
419894,226
276829,433
427926,44
411478,618
295684,367
429262,0
221578,203
354510,1043
339749,319
23425,1752
418419,114
264378,0
418352,73
660076,919
362144,0
435400,40
517474,599
406879,229
1236,506
575130,107
427830,0
304772,148
481124,546
516580,1176
300929,101
421641,38
614523,0
479090,64
576210,633
384457,238
347675,76
314787,672
405579,480
518283,0
368021,2186
257499,150
405729,0
251588,0
681318,0
308321,13640
560260,468
315104,805
560607,795
324721,883
293102,328
364953,35
452634,828
302424,151
426470,0
420229,3691
256931,1066
377557,1051
458767,436
317373,0
3304,71
446492,43
235888,150
389486,44
372638,153
488583,0
254339,1709
307191,783
14415,467
15069,0
530860,112
503416,214
396338,62
482129,676
500988,46
385627,109
503400,489
328467,954
259637,491
324395,0
256594,150
631845,962
649253,0
309297,519
13651,4156
520108,68
406088,0
406910,127
381683,0
403547,0
430031,1483
250772,253
244328,8
458718,84
430403,0
481552,0
334546,445
284444,4872
223986,622
407417,717
667216,0
256130,150
467736,3147
19102,1025
383977,1762
493501,61
434065,176
429587,57
443855,59
429238,115
222811,895
229018,270
282223,526
500659,103
18994,76
388808,87
383877,124
270735,538
455370,0
451136,0
17652,2507
472313,58
513190,0
570513,594
243533,939
9587,90
349975,293
421572,39
249777,445
417418,706
229621,505
244416,615
348944,1345
538667,0
326863,84
343971,362
357393,613
500239,44
468545,304
503341,0
256933,0
260584,1325
2802,2156
365990,396
480461,502
244559,1278
540845,107
322937,225
519392,39
438774,34
301144,511
353971,124
306438,203
391717,112
403642,0
505108,0
258010,153
325469,76
522536,1
509624,0
507879,767
239748,72
648662,33
468964,288
387946,75
259415,651
474817,95
508066,32
451171,441
508943,0
398825,76
503790,0
18471,979
318181,926
217510,788
191637,1025
504920,977
503825,0
525594,470
421001,116
308045,171
244218,253
549454,435
347868,108
538463,374
351709,66
528488,1405
483625,1627
299388,131
428341,0
190968,521
499373,34
506340,0
242090,191
531652,0
351897,474
522064,0
622096,356
3741,577
472549,28
513552,0
501931,0
403090,0
382890,76
357407,537
401863,180
472255,0
251596,641
262405,0
332381,1326
499968,700
447304,0
502568,16
628208,886
331348,26
271931,160
