fid,addresses
3,"{0x8fc5d6afe572fefc4ec153587b63ce543f6fa2ea,0xd7029bdea1c17493893aafe29aad69ef892b8ff2}"
12,{0x5e349eca2dc61abcd9dd99ce94d04136151a09ee}
37,{0x0916c04994849c676ab2667ce5bbdf7ccc94310a}
39,{0x632e7e4716394db3da527f4f0d979e3d60e5f9a7}
99,"{0xe73f9c181b571cac2bf3173634d04a9921b7ffcf,0x849151d7d0bf1f34b70d5cad5149d28cc2308bf1,0x6e0d9c6dd8a08509bb625caa35dc61a991406f62}"
124,{0xe7b25a8ab435c4f8a0d056edda7ba450a9999285}
143,{0xc6f6c89f7f297b5230d2fd028ac06f0677c1857b}
144,"{0x34c3a5ea06a3a67229fb21a7043243b0eb3e853f,0x39963ab005866e0af9df3491f8d344f68d47b776}"
224,{0x23d9bd4dbce18c67ea0bf68ff3c61b28f7018c3e}
239,{0x0aa34eb615ab330b64060ff9fa994e72a7a95b59}
280,"{0x93c620d2af377c6c37e3e3c1d3e065eb04b08ae2,0x8b0573d1c80362db589eda39c2e30f5190d7eb51}"
283,{0x108887066628c7be8016deb372a79582dd1e21cd}
303,"{0xa4e221aa5a7ba51b5d5c7d5c923bfb9bcebcb252,0xb3cf50e0a578a6a64aff18d9b0e8459aab238bcb,0x0ed1f91769d6add12f3aca1229f96eea198ac0ed}"
347,{0x179a862703a4adfb29896552df9e307980d19285}
378,"{0x8f1e16be9b6f88acf2cd58da84a335463350b9fb,0xbeec75a2025b34767cb60f0bea5c4c8be489ba6d}"
426,{0xa35156ca4294c13fe256b10091f3d6595e3bf7d7}
431,{0xdfe8beee223412f316baf2968b17527d6eba29f1}
451,"{0x92382f5c6ad39829a07537d18807462960025725,0x8a95d5f9ac0eebd5880199ea8fcd0fae845bbbf2}"
456,"{0x376e74f8a2b2b4821694350ced61cb48c1e9c198,0x17bfae728d96a722e3272fec234a90a92b956f4b,0xd9c8e8fec07d6d1b2b942cc6fd2238c0b005aefb,0x37bb132a7b0ce38168f7be0701ff38c9898bcce7}"
473,{0x538527f3602acad78596f17b422fcf5613af1409}
539,{0xe978bdbc3347feb6ed10c9845bbdc298604f80ca}
602,{0xeaf55242a90bb3289db8184772b0b98562053559}
680,{0xf417ace7b13c0ef4fcb5548390a450a4b75d3eb3}
972,"{0x7a93c5b2e52f09f0dfb6d6f4c1f992209bce5c88,0x10bff2cd55385d82de3679ae0b0c7858fbe677d6}"
1110,{0x1ab2be15a12437c0db4412ef2781a2f499964e6f}
1214,{0xdaa83039aca9a33b2e54bb2acc9f9c3a99357618}
1236,{0xc3048079040c993818021e955b62102094cd4d03}
1275,"{0x8620d129f411ef5b39da1973c52c0aec15c7016e,0x25aded3c60cd26d63a3427cbbe43859b6508ea97}"
1279,{0xcd01a3aced67e266be21117376c7025b384cd4d7}
1285,{0xc4abbd82cb52a7e7e991e030344799acfe013c95}
1317,{0xabb485fdc925dc375b5d095a30fcae7f136fd007}
1407,{0xafca747b067c40ae0dda3f170ae971a2cbf4d05c}
1467,{0x72b54a4926a5b34b9974bdf4844355bc4bb87457}
1520,{0x006fd9f7547c8b7320ec83eb253f09a69cdd8452}
1771,{0x7a04ed81f52dbbbcb68e991727ae9da18b304f80}
1841,{NULL}
2073,{0x5f77dbc7686327d3bf6ec1887e5a3ada0ae60841}
2112,{0x54ee17b5956dccbf8b88429adc05b59919fc68ba}
2206,"{0x298b7fec0bc234c0822190451fd151c996fff1c0,0xee9d9240073bfe8d35e9f87f2caa5b034dfd8ae2}"
2231,{0x2961b02dce896d5a63b57997a1ae124736de2cf1}
2252,"{0x09765e9d82b019eb0bfe91cbe2e472aab9a142a8,0x70a8283a2209b3f4e8c93639d94724b905e1b612}"
2282,"{0x36de990133d36d7e3df9a820aa3ede5a2320de71,0x5779ed54d0699ed333f9771efb00fdbd651dc6b1}"
2350,{0xedb797dfab3c6fd90295e6264ec4d672d73ac7d3}
2391,{0x905040585a59c5b0e83be2b247fc15a81ff4e533}
2417,{0x4c4ae926a706349fd16700b4f368a4a0cd4a67e4}
2420,{0x089fce8be711cabc806d69b1d0d5aebd52a06455}
2470,{NULL}
2549,{0x72b5620a9fc4097c547f063aa0bdcc20664007c3}
2555,{0xa91c400b8f9d40dd81f159908598bd7f313248b7}
2559,"{0xbf1b14f03eda40550c82e2977050024477d34785,0xaa684bbe2c43c880facc29a47dcb26a5e95d18db}"
2566,{0xcf1d78daf41d4fbddc91dd8d00d2f5f88046a3a3}
2602,"{0xb59aa5bb9270d44be3fa9b6d67520a2d28cf80ab,0x202bdfdb2750df12520e7c83ad3097a7b9c82976}"
2777,{0x472723a705b7fdf72c92b97696f26df545ec11f1}
2783,{0xaf82a37fa0febd276c378c92524675d3f91be8a4}
2802,"{0xda56a75cbf4cec6983bd075778686e44c34df8e8,0x1b52eed520da85fa1fe64ba6ea9ef0ae0d1c64f7,0x45db9d3457c2cb05c4bfc7334a33cee6e19d508f}"
2904,{0x45698cdcc733cba4f8b1150c2f580587adf1df92}
2982,{0xebdb4f871fff3add1afee782077b9359a8ce8060}
2990,"{0xc0e89289d179151768748297395294fbf3cb8d0a,0x70e64a7e6bd1f7dc8d25e02e9c21e5e2164e659a}"
3206,{0x28a69640810fcdcf6adb7119edd64eed4612fa49}
3304,{0x6432c098bfeda15dd4d0692c46bdb43091a95171}
3305,"{0x983e39ce1302bf95161335d8afb3091f42c20624,0x8e63f10eec41c086f40d2bdafc8e07a96128adb3,0xaa451dcc2b100d9bc1d6bd0b482b0904f679a3cf}"
